CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;01/01/2018;1;0,486;E
ES0021000001720511XQ;01/01/2018;2;0,403;E
ES0021000001720511XQ;01/01/2018;3;0,344;E
ES0021000001720511XQ;01/01/2018;4;0,308;E
ES0021000001720511XQ;01/01/2018;5;0,288;E
ES0021000001720511XQ;01/01/2018;6;0,282;E
ES0021000001720511XQ;01/01/2018;7;0,290;E
ES0021000001720511XQ;01/01/2018;8;0,311;E
ES0021000001720511XQ;01/01/2018;9;0,362;E
ES0021000001720511XQ;01/01/2018;10;0,461;E
ES0021000001720511XQ;01/01/2018;11;0,559;E
ES0021000001720511XQ;01/01/2018;12;0,612;E
ES0021000001720511XQ;01/01/2018;13;0,634;E
ES0021000001720511XQ;01/01/2018;14;0,656;E
ES0021000001720511XQ;01/01/2018;15;0,652;E
ES0021000001720511XQ;01/01/2018;16;0,590;E
ES0021000001720511XQ;01/01/2018;17;0,560;E
ES0021000001720511XQ;01/01/2018;18;0,572;E
ES0021000001720511XQ;01/01/2018;19;0,650;E
ES0021000001720511XQ;01/01/2018;20;0,709;E
ES0021000001720511XQ;01/01/2018;21;0,754;E
ES0021000001720511XQ;01/01/2018;22;0,760;E
ES0021000001720511XQ;01/01/2018;23;0,672;E
ES0021000001720511XQ;01/01/2018;24;0,552;E
ES0021000001720511XQ;02/01/2018;1;0,430;E
ES0021000001720511XQ;02/01/2018;2;0,337;E
ES0021000001720511XQ;02/01/2018;3;0,296;E
ES0021000001720511XQ;02/01/2018;4;0,277;E
ES0021000001720511XQ;02/01/2018;5;0,272;E
ES0021000001720511XQ;02/01/2018;6;0,282;E
ES0021000001720511XQ;02/01/2018;7;0,334;E
ES0021000001720511XQ;02/01/2018;8;0,462;E
ES0021000001720511XQ;02/01/2018;9;0,573;E
ES0021000001720511XQ;02/01/2018;10;0,637;E
ES0021000001720511XQ;02/01/2018;11;0,694;E
ES0021000001720511XQ;02/01/2018;12;0,699;E
ES0021000001720511XQ;02/01/2018;13;0,702;E
ES0021000001720511XQ;02/01/2018;14;0,713;E
ES0021000001720511XQ;02/01/2018;15;0,683;E
ES0021000001720511XQ;02/01/2018;16;0,654;E
ES0021000001720511XQ;02/01/2018;17;0,654;E
